id,speed,altitude,battery,heading
Log_0,10.9,364.1,100.0,226
Log_1,14.0,328.3,99.5,336
Log_2,22.5,321.2,99.1,63
Log_3,9.5,298.2,98.7,238
Log_4,20.4,233.3,98.2,354
Log_5,9.8,234.7,97.8,144
Log_6,14.6,83.8,97.3,124
Log_7,14.5,195.1,96.8,344
Log_8,16.1,347.6,96.4,327
Log_9,18.3,350.9,96.0,190
Log_10,25.0,116.5,95.5,265
Log_11,14.9,213.8,95.0,116
Log_12,25.1,139.2,94.6,11
Log_13,24.3,291.5,94.2,86
Log_14,12.6,215.7,93.7,112
Log_15,25.4,366.5,93.2,161
Log_16,20.3,298.7,92.8,357
Log_17,17.9,218.2,92.3,30
Log_18,23.0,87.3,91.9,114
Log_19,14.3,174.7,91.5,304
Log_20,17.9,183.0,91.0,113
Log_21,14.2,266.6,90.5,163
Log_22,23.6,325.4,90.1,22
Log_23,19.9,203.7,89.7,344
Log_24,21.4,238.7,89.2,25
Log_25,21.8,195.3,88.8,106
Log_26,9.7,188.5,88.3,271
Log_27,15.4,340.7,87.8,41
Log_28,21.1,327.6,87.4,274
Log_29,25.0,305.4,87.0,322
Log_30,20.5,165.1,86.5,340
Log_31,9.4,238.6,86.0,93
Log_32,17.4,345.4,85.6,96
Log_33,9.1,297.1,85.2,3
Log_34,25.2,148.8,84.7,70
Log_35,23.8,132.7,84.2,119
Log_36,15.6,305.1,83.8,88
Log_37,16.0,87.2,83.3,50
Log_38,20.9,301.8,82.9,33
Log_39,10.7,106.9,82.5,87
Log_40,23.1,336.2,82.0,115
Log_41,25.4,347.9,81.5,157
Log_42,21.6,274.6,81.1,326
Log_43,14.9,325.6,80.7,288
Log_44,23.1,244.8,80.2,164
Log_45,9.2,312.0,79.8,79
Log_46,12.9,197.7,79.3,310
Log_47,16.1,168.9,78.8,311
Log_48,19.4,81.0,78.4,237
Log_49,13.3,223.3,78.0,336
Log_50,20.0,294.5,77.5,3
Log_51,8.9,346.1,77.0,101
Log_52,20.7,132.6,76.6,103
Log_53,8.2,263.2,76.2,128
Log_54,10.5,144.6,75.7,16
Log_55,12.1,233.1,75.2,341
Log_56,15.9,214.8,74.8,66
Log_57,20.3,255.3,74.3,332
Log_58,8.1,102.7,73.9,270
Log_59,9.3,226.1,73.5,295
Log_60,22.4,288.9,73.0,118
Log_61,23.1,323.1,72.5,303
Log_62,19.8,86.4,72.1,274
Log_63,14.0,105.8,71.7,123
Log_64,13.6,187.6,71.2,216
Log_65,9.4,241.4,70.8,208
Log_66,19.1,370.3,70.3,206
Log_67,26.0,330.9,69.8,251
Log_68,15.0,87.0,69.4,283
Log_69,14.9,185.5,69.0,152
Log_70,10.4,155.3,68.5,274
